,Region,Section,Alignment
60,Quartile 4,1,0.7395197067530496
61,Quartile 4,10,0.7585458513230083
62,Quartile 4,11,0.6575379459190813
63,Quartile 4,12,0.7847809883025681
64,Quartile 4,13,0.7382071629919225
65,Quartile 4,2,0.7429528623603584
66,Quartile 4,3,0.6923070672527621
67,Quartile 4,4,0.7313407559175655
68,Quartile 4,5,0.7223631854054052
69,Quartile 4,6,0.8394883629751781
70,Quartile 4,7,0.7954481381227174
71,Quartile 4,8,0.6888514173428704
72,Quartile 4,9,0.7532584075972961
73,Quartile 4,AllQuestions,0.7369917204634359
74,Quartile 4,SectionsAvg,0.7418924501741372
