,Region,Section,Alignment
60,Quartile 4,1,0.7949100779283458
61,Quartile 4,10,0.7763835933238549
62,Quartile 4,11,0.8068408659613244
63,Quartile 4,12,0.7825850239904113
64,Quartile 4,13,0.757972107704934
65,Quartile 4,2,0.6429598961146201
66,Quartile 4,3,0.6835447211708746
67,Quartile 4,4,0.7926107448857281
68,Quartile 4,5,0.7583816084955035
69,Quartile 4,6,0.8370452967539876
70,Quartile 4,7,0.7170466243604061
71,Quartile 4,8,0.9039476602453375
72,Quartile 4,9,0.8042014478755354
73,Quartile 4,AllQuestions,0.7575000682409639
74,Quartile 4,SectionsAvg,0.7737253591392972
